name,summary,calories,protein,carbs,fat,meal_type,ingredients,instructions,servings,prep_time,cook_time,course,nutrition_details,proper_meal_type,dish_type,t2d_suitable,cvd_suitable,healthiness
pork stew with tomato gravy,A diabetic-friendly recipe with a Pakistani twist.,440.0,35.0,20.0,25.0,unknown,"['1 unit 500g pork stewing meat (must include at least 2 – 3 pork knuckle slices)  •   •    •   •', '1 unit 600g pork goulash', '1 unit 2 tablespoons oil', '1 unit salt and pepper to taste', '1 unit 2 large onions', '1 unit 1 large green chilli', '1 unit 1 teaspoon ginger and garlic paste', '1 unit 1 tablespoon meat masala', '1 unit 2 tablespoons tomato paste', '1 unit 1/2 cup chutney', '1 unit 350ml low sodium meat stock', '1 unit fresh or dried herbs of your choice', '1 unit 3 large carrots', '1 unit 1 can (400g) chopped tomatoes', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat the oil in a thick-based pot and brown the meat. work in batches, ensuring the meat has a lovely golden-brown crust all over – season with salt and pepper.', 'brown the onion and chilli in the same pot. once the onion is soft and translucent, add  the garlic, ginger, spices, tomato paste and chutney. stir-fry for another minute.', 'return the meat to the pot, add the stock and herbs, reduce the heat and simmer gently for 1 hour with the lid on.', 'stir in the carrots and chopped tomato and check the seasoning. add a pinch of salt and pepper.', 'simmer the stew gently for another 1 – 1,5 hours or until the meat is tender and the gravy deliciously thick. serve with a sprinkling of fresh herbs.']",8.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '80 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '25%'}",dinner,main,yes,no,6
homemade health seed bread,A diabetic-friendly recipe with a Pakistani twist.,318.0,10.0,45.0,12.0,unknown,"['1 unit ¼ cup oat bran', '1 unit 2 cups brown bread flour', '1 unit ½ cup oats', '1 unit 1½ cups mixed seeds', '1 unit 1 tablespoon bicarbonate of soda', '1 unit ½ teaspoon salt', '1 unit 1 egg', '1 unit 1½ cups low-fat milk', '1 unit 1 tablespoon vegetable oil', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 200°c.', 'place all dry ingredients into a bowl and set aside.', 'whisk together the egg, milk and oil until combined and add to the flour mix.', 'mix well until combined and pour into a lightly greased bread loaf tin.', 'bake in tandoor or handi for 50 mins or until bread is golden brown.', 'remove from tandoor or handi and allow to cool in tin.', 'serve fresh or toasted with avocado, low-fat chunky cottage cheese and a pinch of chilli flakes for a delicious breakfast.']",5.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '200 mg', 'Potassium': '400 mg', 'Fiber': '8 g', 'Sugar': '5 g', 'Vitamin A': '10%', 'Vitamin C': '2%', 'Calcium': '15%', 'Iron': '20%'}",breakfast,side,maybe,yes,7
cherry zucchini oat muffins,A diabetic-friendly recipe with a Pakistani twist.,181.0,3.0,25.0,8.0,unknown,"['1 unit 1 medium zucchini', '1 unit 2 cups whole wheat flour', '1 unit 1 cup oats', '1 unit ¾ teaspoon baking soda', '1 unit ½ teaspoon baking powder', '1 unit ¼ teaspoon salt', '1 unit ¼ cup sugar', '1 unit 2 eggs', '1 unit ¼ cup coconut oil', '1 unit 1 teaspoon vanilla essence', '1 unit ¼ cup applesauce', '1 unit 1 cup cherries', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['place the grated zucchini on a paper towel and drain excess liquid.', 'preheat tandoor or handi to 180°c. line a muffin tin with 12 muffin liners and set  aside.', 'in a medium bowl, combine the flour, oats, baking soda, baking powder, salt, and sugar. whisk well to thoroughly combine and set aside.', 'in a second medium bowl, lightly beat the eggs. add the coconut oil, vanilla essence and applesauce; whisk well to combine.', 'stir the wet ingredients into the dry until well-combined and cohesive. gently fold in the cherries and grated zucchini.', 'drop the batter into the muffin wells by the 1/3 cup. bake for 20 minutes or until an inserted toothpick comes out clean. allow to cool completely before serving.']",12.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '30 mg', 'Sodium': '100 mg', 'Potassium': '250 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '4%', 'Vitamin C': '8%', 'Calcium': '6%', 'Iron': '8%'}",breakfast,main,maybe,yes,7
sea bass with dill relish,A diabetic-friendly recipe with a Pakistani twist.,194.0,35.0,6.0,7.0,unknown,"['1 unit 1 1/2 tablespoons chopped white onion', '1 unit 1 teaspoon pickled baby capers', '1 unit 1 1/2 teaspoons chopped fresh dill', '1 unit 1 teaspoon dijon mustard', '1 unit 1 teaspoon lemon juice', '1 unit 4 white sea bass fillets', '1 unit 1 lemon', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat the tandoor or handi to 180°c. in a small bowl, add the onion, capers, dill, mustard and lemon juice. stir to mix well.', 'place each fillet on a square of aluminum foil. squeeze 1 lemon wedge over each fillet and spread 1/4 of the dill relish over each piece.', 'wrap the aluminum foil around the fish and bake until the fish is opaque throughout when tested with a tip of a knife, 10 to 12 minutes. serve immediately.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '3 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '120 mg', 'Potassium': '450 mg', 'Fiber': '1 g', 'Sugar': '2 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '4%', 'Iron': '15%'}",dinner,main,yes,yes,9
tofu parmigiana,A diabetic-friendly recipe with a Pakistani twist.,344.0,25.0,20.0,18.0,unknown,"['1 unit ¼ cup  breadcrumbs', '1 unit 1 teaspoon italian seasoning', '1 unit 500g firm tofu', '1 unit ¼ teaspoon garlic powder', '1 unit ¼ teaspoon salt', '1 unit 2 teaspoons plus 1 tablespoon extra-virgin mustard oil', '1 unit 1 small onion', '1 unit 1 cup white mushrooms', '1 unit ¼ cup grated paneer cheese', '1 unit ¾ cup low sodium tomato sauce', '1 unit ½ cup shredded mozzarella cheese', '1 unit 2 tablespoons chopped fresh basil', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['combine breadcrumbs and italian seasoning in a shallow dish. cut tofu lengthwise into 4 steaks and pat dry. sprinkle both sides of the tofu with garlic powder and salt and then dredge in the breadcrumb mixture.', 'add the remaining 1 tablespoon oil to the pan. add the tofu steaks and cook until browned on one side, about 3 minutes. turn over and sprinkle with parmesan. spoon the mushroom mixture over the tofu, pour marinara over the mushrooms and scatter mozzarella on top. cover and cook until the sauce is hot and the cheese is melted, about 3 minutes. sprinkle with basil and serve.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '6 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '250 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '20%', 'Iron': '15%'}",dinner,main,maybe,maybe,6
baked portobello mushrooms,A diabetic-friendly recipe with a Pakistani twist.,321.0,15.0,20.0,18.0,unknown,"['1 unit 4 portobello mushroom caps (wiped clean and stems removed)', '1 unit 1 tablespoons  extra virgin mustard oil', '1 unit 1 teaspoons  dried oreganum', '1 unit sea salt and black pepper to taste', '1 unit 1 can tomatoes', '1 unit 1 small red onion', '1 unit ½ cup mushrooms', '1 unit ½ cup cherry tomatoes', '1 unit ½ green bell pepper', '1 unit ⅔ cup feta cheese', '1 unit 1 teaspoon chilli flakes', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 200ºc.', 'line a baking sheet with parchment paper and add mushroom caps. brush both sides of each mushroom with a bit of olive oil.', 'sprinkle the inside gills with oreganum and season with sea salt and black pepper. place in the tandoor or handi and bake for 5 minutes.', 'while the mushrooms are baking, prepare your veggies.', 'pull mushroom caps out of the tandoor or handi and spoon blended tomato onto the caps. top with diced veggies and sprinkle with feta cheese. place back into the tandoor or handi and bake for 15 minutes.   remove mushrooms from tandoor or handi.', 'plate and sprinkle with some chili flakes for a bit of heat.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '20 mg', 'Sodium': '250 mg', 'Potassium': '800 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '10%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '10%'}",dinner,side,maybe,no,5
roasted root veggies & greens over spiced lentils,A diabetic-friendly recipe with a Pakistani twist.,397.0,18.0,60.0,12.0,unknown,"['1 unit for lentils:', '1 unit ½ cup lentils', '1 unit 1 ½ cups water', '1 unit 1 teaspoon garlic powder', '1 unit ½ teaspoon ground coriander', '1 unit ½ teaspoon ground cumin', '1 unit ¼ teaspoon ground allspice', '1 unit ¼ teaspoon kosher salt', '1 unit ⅛ teaspoon sumac (optional)', '1 unit 2 tablespoons lemon juice', '1 unit 1 teaspoon extra-virgin mustard oil', '1 unit for vegetables:', '1 unit 1 tablespoon extra-virgin mustard oil', '1 unit 1 clove garlic', '1 unit 1 1/2 cups roasted root vegetables', '1 unit 2 cups chopped kale or beet greens', '1 unit 1 teaspoon ground coriander', '1 unit ½ teaspoon ground pepper', '1 unit pinch of salt', '1 unit 2 tablespoons tahini or low-fat plain yoghurt', '1 unit fresh parsley for garnish', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['to prepare lentils: combine water, lentils, garlic powder, 1/2 teaspoon coriander, cumin, allspice, 1/4 teaspoon salt and sumac (if using) in a medium pot. bring to a boil.', 'reduce heat to maintain a simmer, cover and cook until tender, 25 to 30 minutes.', 'uncover and continue simmering until the liquid reduces slightly, about 5 minutes more. drain.', 'stir in lemon juice and 1 teaspoon olive oil.', 'meanwhile, to prepare vegetables: heat oil in a large skillet over medium heat. add garlic and cook until fragrant, 1 to 2 minutes. add roasted root vegetables and cook, stirring often, until heated through, 2 to 4 minutes. stir in kale (or beet greens) and cook until just wilted, 2 to 3 minutes. stir in coriander, pepper and salt.', 'serve the vegetables over the lentils, topped with tahini (or yoghurt). garnish with parsley, if desired.']",2.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '1.5 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '0 mg', 'Sodium': '150 mg', 'Potassium': '800 mg', 'Fiber': '10 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '25%'}",lunch,main,maybe,yes,8
indian masala oats,A diabetic-friendly recipe with a Pakistani twist.,310.0,6.0,45.0,12.0,unknown,"['1 unit 1 tablespoon ghee or oil', '1 unit 1 teaspoon cumin seeds (jeera)', '1 unit 1 green chili pepper', '1 unit 1 cup onion', '1 unit 1 teaspoon ginger', '1 unit 1 teaspoon garlic', '1 unit 1/2 cup tomato', '1 unit 1 1/2 cups steel-cut oats', '1 unit 3 1/2 cups water', '1 unit 2 cups mixed vegetables', '1 unit 1 tablespoon lime juice', '1 unit coriander leaves ', '1 unit 1/2 teaspoon turmeric', '1 unit ½ teaspoon kashmiri chilli powder', '1 unit ½ teaspoon garam marsala', '1 unit 1 teaspoon salt', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat ghee/oil, then add cumin seeds and let them sizzle.', 'now add the green chili, onion, ginger and garlic. sauté for 2-3 minutes until onion are translucent.   add in the mixed spices and sauté well.', 'add the mixed vegetables, oats and water. mix well. if anything is stuck to the bottom of the pot, deglaze it. cook 8 minutes on high heat.', 'add the lime juice and then garnish with yoghurt and coriander.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '250 mg', 'Potassium': '400 mg', 'Fiber': '6 g', 'Sugar': '5 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '4%', 'Iron': '15%'}",breakfast,main,maybe,maybe,6
chicken katsu,A diabetic-friendly recipe with a Pakistani twist.,405.0,37.0,35.0,18.0,unknown,"['1 unit 4 skinless chicken breasts', '1 unit 1 large egg', '1 unit 75g breadcrumbs', '1 unit sunflower oil spray', '1 unit cooked brown rice', '1 unit for the katsu sauce :', '1 unit 2 teaspoons sunflower oil', '1 unit 1 onion', '1 unit 1 tablespoon frozen chopped ginger (or a 5cm piece', '1 unit 1 tablespoon hot or mild curry powder', '1 unit pinch of crushed chillies', '1 unit 2 carrots', '1 unit 1 tablespoon flour', '1 unit 200ml reduced fat coconut milk', '1 unit ½ butternut (500g)', '1 unit 2 orange or yellow peppers', '1 unit 1 tablespoon reduced-sodium soy sauce', '1 unit 2 limes', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to  200°c. lay the chicken breasts between 2 sheets of baking paper and use a rolling pin to beat gently, to thin out the meat until it’s 1-1.5cm thick. dip into the beaten egg, then the breadcrumbs and place on a baking sheet. spray evenly with the oil to lightly coat, then bake for 10-12 mins or until cooked through.', 'meanwhile, sauté the onion in oil in a lidded saucepan over a medium heat for 3-5 mins or until soft. add the ginger and cook for 1 min. stir in the spices and carrots and cook for 5 mins. add the flour, cook for 1 min, then stir in the coconut milk and 450ml water. bring to a simmer, then add the squash; cover and simmer for 10 mins. add the peppers and cook for another 5 mins. stir through the soy sauce, and lime juice and zest. blitz with a stick blender until smooth.', 'serve the sauce in bowls with sliced chicken rice, mangetout, coriander and lime wedges.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '80 mg', 'Sodium': '350 mg', 'Potassium': '800 mg', 'Fiber': '5 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '10%', 'Iron': '15%'}",dinner,main,no,no,4
pea broccoli and cheddar frittata,A diabetic-friendly recipe with a Pakistani twist.,184.0,18.0,6.0,10.0,unknown,"['1 unit 1 tablespoon mustard oil', '1 unit 220g broccoli', '1 unit 2 garlic cloves', '1 unit 250g frozen peas', '1 unit 8 eggs', '1 unit 50g mature cheddar', '1 unit 50g low fat malai to serve', '1 unit ½ teaspoon paprika', '1 unit salad leaves', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['heat the oil in a pan over a medium-high heat and stir-fry the broccoli for 5 mins, then add the garlic and peas and cook for a further 2 mins.', 'preheat the tawa to high. whisk the eggs in a large jug, then add the cheese and whisk again. season, then pour into the pan over the vegetables. stir until well combined.', 'reduce the heat to medium and cook, without stirring, for 5 mins until the frittata starts to brown on the bottom. put the pan under the tawa and cook for 3-5 mins, until cooked through. in a small bowl, mix the fresh cream with the paprika. slice the frittata into wedges and serve with dip and  salad leaves.']",6.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '3.5 g', 'Polyunsaturated Fat': '1.5 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '160 mg', 'Sodium': '120 mg', 'Potassium': '350 mg', 'Fiber': '4 g', 'Sugar': '2 g', 'Vitamin A': '20%', 'Vitamin C': '100%', 'Calcium': '15%', 'Iron': '10%'}",breakfast,main,yes,maybe,7
tandoori chicken salad,A diabetic-friendly recipe with a Pakistani twist.,325.0,35.0,20.0,12.0,unknown,"['1 unit 1 cup low fat plain yoghurt', '1 unit 2 teaspoons garam masala', '1 unit 1 teaspoon ground ginger', '1 unit 1 teaspoon minced garlic', '1 unit 1 teaspoon ground turmeric', '1 unit 1 teaspoon salt', '1 unit 1 jalapeño pepper', '1 unit 1 kg boneless', '1 unit 1 tablespoon canola oil', '1 unit salad', '1 unit 3 cups shredded iceberg lettuce', '1 unit 3 cups shredded red cabbage', '1 unit 3 cups diced plum tomatoes', '1 unit 2 cups sliced cucumber', '1 unit 1 ½ cups diced parsnip', '1 unit 1 cup sliced radishes', '1 unit 2 tablespoons chopped spring onions', '1 unit 1 cup coriander', '1 unit juice of 2 small lemons', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['to make chicken: whisk yoghurt, garam masala, ginger, garlic, turmeric, salt and jalapeño (if using) in a shallow dish. add chicken and stir to coat. cover and refrigerate while preparing the vegetables. meanwhile, make salad: combine lettuce, cabbage, tomatoes, cucumber, jicama, radishes, scallions and cilantro in a large bowl; toss to combine.', 'heat oil in a large nonstick skillet over medium-high heat. add the chicken and marinade; cook for 6 to 8 minutes.', 'transfer the chicken and the pan juices to the bowl with the salad. add lemon juice to taste; toss to combine.']",6.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2.5 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '250 mg', 'Potassium': '450 mg', 'Fiber': '5 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '20%'}",lunch,main,maybe,maybe,7
spicy tomato and fennel soup,A diabetic-friendly recipe with a Pakistani twist.,195.0,10.0,25.0,8.0,unknown,"['1 unit 1 kg cherry tomatoes', '1 unit 3 garlic cloves (peeled)', '1 unit 1 small carrot (diced)', '1 unit ¼ small bulb fennel (finely chopped)', '1 unit 2 tablespoons mustard oil', '1 unit 1 red chili (thinly sliced)', '1 unit 1 teaspoon salt', '1 unit ground black pepper', '1 unit ½ cup low fat yoghurt', '1 unit 1 tablespoon parsley (chopped)', '1 unit serve with ricotta toast:', '1 unit 2 slices brown bread', '1 unit 1/4 cup (30g) ricotta cheese', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to 200°c.', 'place tomatoes, garlic, carrot and fennel in a roasting tin and drizzle with olive oil and season well.', 'cover with foil and bake for 30 minutes or until vegetables are well cooked.', 'blend all the vegetables with the yoghurt until smooth. garnish with parsley and serve warm.', 'for the ricotta toast: place the brown bread in an tandoor or handi dish and top with the ricotta cheese. tawa for 2 minutes.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '2.5 g', 'Polyunsaturated Fat': '1.5 g', 'Monounsaturated Fat': '4 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '120 mg', 'Potassium': '400 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '20%', 'Vitamin C': '40%', 'Calcium': '15%', 'Iron': '10%'}",lunch,main,maybe,yes,8
spicy mung bean rice,A diabetic-friendly recipe with a Pakistani twist.,406.0,15.0,60.0,18.0,unknown,"['1 unit 1 1/2 cups white rice', '1 unit 1 1/4 cups split mung bean', '1 unit 1/4 cup grated coconut', '1 unit 1/2 teaspoon cumin seeds', '1 unit 2 green chillies', '1 unit 1 cm ginger', '1 unit 1/8 teaspoon hing (asafetida powder)', '1 unit 8 curry leaves', '1 unit 1 1/4 tablespoons ghee', '1 unit 2 tablespoons lemon juice', '1 unit 1 1/2 teaspoons salt', '1 unit 1/4 teaspoon turmeric powder', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['add washed mung beans and rice to pot. season with salt. cook until soft and a little mushy.', 'add grated coconut, ginger, peppercorns, and green chillies to a mixer/blender. dry-grind them to get a coarse powder. set aside.', 'heat the ghee) in a deep-bottomed pan over low fire. throw in cumin seeds. let them crackle. add curry leaves and hing (asafetida powder). mix well.', 'add the ground coconut mixture. sauté until you smell a nice aroma. add in cooked lentil-rice mix. turn on the fire. add turmeric powder and some more salt. mix well.', 'if the consistency is too thick, add some water to make it thinner. let the mixture boil for 5 minutes on low fire. add lemon juice. check for the taste. add salt if needed.', 'mung bean rice should have semi-solid consistency.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '350 mg', 'Potassium': '400 mg', 'Fiber': '5 g', 'Sugar': '2 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '20%'}",lunch,main,maybe,maybe,7
aubergine lamb curry,A diabetic-friendly recipe with a Pakistani twist.,407.0,35.0,25.0,25.0,unknown,"['1 unit 2 tablespoons vegetable oil', '1 unit 300g pack diced lamb shoulder', '1 unit 2 onions', '1 unit 4 garlic cloves', '1 unit 2.5cm piece fresh ginger', '1 unit 4 cardamom pods', '1 unit 1 teaspoon garam masala', '1 unit 1 teaspoon ground coriander', '1 unit 1 teaspoon medium chilli powder', '1 unit 1 teaspoon fennel seeds', '1 unit 1 large aubergine', '1 unit 1 x 400g tin chopped tomatoes', '1 unit 2 tablespoons tamarind paste', '1 unit 1 tablespoon brown sugar', '1 unit 10g fresh coriander', '1 unit naan or roti', '1 unit yoghurt', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat the tandoor or handi to gas 180°c. heat the oil in a casserole dish over a medium heat and add the lamb and a pinch of salt. fry for 4-5 mins until browned all over, then transfer to a plate.', 'add the onions to the pan and sauté 4-5 mins until soft and tender. add the garlic and ginger, cook for 1 min, then stir in the spices and cook for another 30-45 secs until fragrant.', 'stir in the aubergine and cook for 1 min. add the lamb back in along with the tomatoes, tamarind, sugar, 350ml water and 1 tsp salt, then bring to the boil. cover and transfer to the tandoor or handi for 45 mins until the lamb is tender.', 'scatter with the coriander and serve with naan or roti and yogurt.']",6.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '10 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '350 mg', 'Potassium': '800 mg', 'Fiber': '6 g', 'Sugar': '15 g', 'Vitamin A': '15%', 'Vitamin C': '20%', 'Calcium': '10%', 'Iron': '25%'}",dinner,main,maybe,maybe,6
baked teriyaki chicken,A diabetic-friendly recipe with a Pakistani twist.,323.0,35.0,20.0,12.0,unknown,"['1 unit 1 tablespoon corn flour', '1 unit 1 tablespoon cold water', '1 unit 2 teaspoons honey', '1 unit ¼ cup low sodium soy sauce', '1 unit ¼ cup apple cider vinegar', '1 unit 1 clove garlic minced', '1 unit ½ teaspoon grated ginger', '1 unit ½ teaspoon black pepper', '1 unit ½ kg boneless chicken thighs', '1 unit 2 teaspoons sesame seeds', '1 unit 1 tablespoon chopped spring onion', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 200°c and grease a baking dish.', 'in a saucepan, whisk together cornstarch and cold water until smooth. add the honey, soy sauce, vinegar, garlic, ginger, and pepper. bring to a simmer over low heat and cook, stirring frequently, until sauce thickens and bubbles.', 'place chicken in prepared baking dish and brush with teriyaki sauce. turn chicken over, and brush again.', 'bake for 15 minutes. remove and sprinkle with sesame seeds and spring onion.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '3 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '5 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '250 mg', 'Potassium': '400 mg', 'Fiber': '2 g', 'Sugar': '8 g', 'Vitamin A': '10%', 'Vitamin C': '20%', 'Calcium': '6%', 'Iron': '15%'}",dinner,main,yes,yes,8
soda bread,A diabetic-friendly recipe with a Pakistani twist.,175.0,4.0,25.0,7.0,unknown,"['1 unit 1 cup wholewheat  flour', '1 unit 1 cup cake flour', '1 unit 1/2 teaspoon bicarbonate of soda', '1 unit 1/2 teaspoon malai of tartar', '1 unit 25g butter', '1 unit 1 1/2 cups buttermilk', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180 °c.', 'sift together the flours, bicarbonate of soda and cream of tartar into a bowl and rub in the butter until the mixture resembles fine breadcrumbs. quickly stir in the buttermilk and combine until a dough is formed.', 'turn the dough onto a lightly floured surface and knead until smooth. mould into a round shape, place onto a lightly floured baking sheet, cut a cross in the top, and sprinkle with a little flour.', 'bake for 20-25 minutes.']",8.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '4 g', 'Polyunsaturated Fat': '0.5 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0 g', 'Cholesterol': '10 mg', 'Sodium': '180 mg', 'Potassium': '150 mg', 'Fiber': '2 g', 'Sugar': '2 g', 'Vitamin A': '2%', 'Vitamin C': '0%', 'Calcium': '10%', 'Iron': '8%'}",breakfast,side,maybe,maybe,5
baked ricotta with figs,A diabetic-friendly recipe with a Pakistani twist.,227.0,18.0,25.0,12.0,unknown,"['1 unit 3 cups ricotta cheese (750g)', '1 unit 2 eggs', '1 unit ¼ cup light brown sugar', '1 unit 1 cup figs (finely chopped)', '1 unit 1 teaspoon vanilla essence', '1 tsp garam masala', '1 tsp red chili powder', '1 tsp cumin powder']","['preheat tandoor or handi to 180°c.', 'in a bowl, whip up the ricotta cheese, eggs and sugar and vanilla till well combined.', 'fold in the chopped figs.', 'grease four ramekins and divide the mixture between them.', 'bake for 20-25 minutes. remove and cool.', 'serve as desired.']",4.0,15 minutes,30 minutes,Pakistani Cuisine,"{'Saturated Fat': '8 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0 g', 'Cholesterol': '60 mg', 'Sodium': '100 mg', 'Potassium': '250 mg', 'Fiber': '2 g', 'Sugar': '18 g', 'Vitamin A': '10%', 'Vitamin C': '2%', 'Calcium': '20%', 'Iron': '8%'}",dessert,dessert,no,no,4
